rank,search_url,url,title,source_listing_id,listing_type,matches_query
2,https://modesto.craigslist.org/search/cta?query=toyota+camry&sort=rel,https://modesto.craigslist.org/ctd/d/modesto-2010-toyota-camry-le-sedan/7917771145.html,2010 Toyota Camry Le Sedan Super Clean,7917771145,ctd,True
2,https://monterey.craigslist.org/search/cta?query=toyota+camry&sort=rel,https://monterey.craigslist.org/ctd/d/monterey-2022-toyota-camry-silver-big/7917705257.html,2022 Toyota Camry Silver BIG SAVINGS!,7917705257,ctd,True
2,https://sacramento.craigslist.org/search/cta?query=toyota+camry&sort=rel&min_price=15000&max_price=20000,https://sacramento.craigslist.org/ctd/d/sacramento-2015-toyota-camry-le/7917052029.html,2015 Toyota Camry LE AUTONATION,7917052029,ctd,True
2,https://sacramento.craigslist.org/search/cta?query=toyota+camry&sort=rel&min_price=20000,https://sacramento.craigslist.org/ctd/d/sacramento-2022-toyota-camry-trd-v6/7917784878.html,2022 Toyota Camry TRD V6 AUTONATION,7917784878,ctd,True
2,https://sacramento.craigslist.org/search/cta?query=toyota+camry&sort=rel&max_price=10000,https://sacramento.craigslist.org/cto/d/sacramento-2014-toyota-camry-le/7917869916.html,2014 Toyota Camry le /Excellent Condition/ clean car,7917869916,cto,True
2,https://sacramento.craigslist.org/search/cta?query=toyota+camry&sort=rel&min_price=10000&max_price=15000,https://sacramento.craigslist.org/cto/d/sacramento-2019-toyota-camry/7917650617.html,2019 Toyota Camry,7917650617,cto,True
2,https://sfbay.craigslist.org/search/cta?query=toyota+camry&sort=rel&min_price=9000&max_price=15000,https://sfbay.craigslist.org/eby/ctd/d/concord-2010-toyota-camry-leclean/7917852630.html,2010 TOYOTA CAMRY LE\*CLEAN TITLE\*GOOD CARFAX\*EXPERT FINANCING\*,7917852630,ctd,True
2,https://sfbay.craigslist.org/search/cta?query=toyota+camry&sort=rel&max_price=9000,https://sfbay.craigslist.org/pen/ctd/d/san-mateo-2008-toyota-camry/7917871448.html,2008 toyota camry,7917871448,ctd,True
2,https://sfbay.craigslist.org/search/cta?query=toyota+camry&sort=rel&min_price=15000&max_price=25000,https://sfbay.craigslist.org/sby/cto/d/san-jose-2016-toyota-camry-le-33k-miles/7917826591.html,2016 Toyota Camry LE 33K Miles,7917826591,cto,True
2,https://sfbay.craigslist.org/search/cta?query=toyota+camry&sort=rel&min_price=25000,https://sfbay.craigslist.org/sfc/ctd/d/rancho-cordova-2025-toyota-camry-le/7917876865.html,2025 Toyota Camry LE,7917876865,ctd,True
2,https://stockton.craigslist.org/search/cta?query=toyota+camry&sort=rel&max_price=15000,https://stockton.craigslist.org/ctd/d/stockton-2011-toyota-camry-4dr-sdn-i4/7917415077.html,2011 Toyota Camry 4dr Sdn I4 Man LE (Natl),7917415077,ctd,True
2,https://stockton.craigslist.org/search/cta?query=toyota+camry&sort=rel&min_price=15000,https://stockton.craigslist.org/ctd/d/vacaville-2025-toyota-camry-fwd-4d/7917493785.html,2025 Toyota Camry FWD 4D Sedan / Sedan LE,7917493785,ctd,True
3,https://modesto.craigslist.org/search/cta?query=toyota+camry&sort=rel,https://modesto.craigslist.org/ctd/d/manteca-2019-toyota-camry-le-stock2776/7917598418.html,2019 TOYOTA CAMRY LE STOCK#2776,7917598418,ctd,True
